municipio_norm,municipio,comarca_modelo
PEDRA BRANCA,Pedra Branca,Comarca de Itaporanga
PEDRA LAVRADA,Pedra Lavrada,Comarca de Picuí
PEDRAS DE FOGO,Pedras de Fogo,Comarca de Pedras de Fogo
PEDRO REGIS,Pedro Régis,Comarca de Jacaraú
PIANCO,Piancó,Comarca de Piancó
PICUI,Picuí,Comarca de Picuí
PILAR,Pilar,Comarca de Itabaiana
PILOES,Pilões,Comarca de Guarabira
PILOEZINHOS,Pilõezinhos,Comarca de Guarabira
PIRPIRITUBA,Pirpirituba,Comarca de Guarabira
PITIMBU,Pitimbu,Comarcas Integradas do Litoral Sul
POCINHOS,Pocinhos,Comarca de Pocinhos
POCO DANTAS,Poço Dantas,Comarca de Sousa
POCO DE JOSE DE MOURA,Poço de José de Moura,Comarca de São João do Rio do Peixe
POMBAL,Pombal,Comarca de Pombal
PRATA,Prata,Comarca de Sumé
PRINCESA ISABEL,Princesa Isabel,Comarca Int.Pric.Isabel e Agua Branca
PUXINANA,Puxinanã,Comarca de Pocinhos
QUEIMADAS,Queimadas,Comarca de Queimadas
QUIXABA,Quixaba,Comarca de Patos
REMIGIO,Remígio,Comarca de Remígio
RIACHAO,Riachão,Comarca de Araruna
RIACHAO DO BACAMARTE,Riachão do Bacamarte,Comarca de Ingá
RIACHAO DO POCO,Riachão do Poço,Comarca de Sapé
RIACHO DE SANTO ANTONIO,Riacho de Santo Antônio,Comarca de Boqueirão
RIACHO DOS CAVALOS,Riacho dos Cavalos,Comarca de Catolé do Rocha
RIO TINTO,Rio Tinto,Comarca de Rio Tinto
SALGADINHO,Salgadinho,Comarca de Taperoá
SALGADO DE SAO FELIX,Salgado de São Félix,Comarca de Itabaiana
SANTA CECILIA,Santa Cecília,Comarca de Umbuzeiro
SANTA CRUZ,Santa Cruz,Comarca de Sousa
SANTA HELENA,Santa Helena,Comarca de São João do Rio do Peixe
SANTA INES,Santa Inês,Comarca de Conceição
SANTA LUZIA,Santa Luzia,Comarca de Santa Luzia
SANTA RITA,Santa Rita,Comarca Integrada de Bayeux e Santa Rita
SANTA TERESINHA,Santa Teresinha,Comarca de Patos
SANTANA DE MANGUEIRA,Santana de Mangueira,Comarca de Conceição
SANTANA DOS GARROTES,Santana dos Garrotes,Comarca de Piancó
SANTO ANDRE,Santo André,Comarca de Juazeirinho
SAO BENTINHO,São Bentinho,Comarca de Pombal
SAO BENTO,São Bento,Comarca de São Bento
SAO DOMINGOS,São Domingos,Comarca de Pombal
SAO DOMINGOS DO CARIRI,São Domingos do Cariri,Comarca de Boqueirão
SAO FRANCISCO,São Francisco,Comarca de Sousa
SAO JOAO DO CARIRI,São João do Cariri,Comarca de Serra Branca
SAO JOAO DO RIO DO PEIXE,São João do Rio do Peixe,Comarca de São João do Rio do Peixe
SAO JOAO DO TIGRE,São João do Tigre,Comarca de Monteiro
SAO JOSE DA LAGOA TAPADA,São José da Lagoa Tapada,Comarca de Sousa
SAO JOSE DE CAIANA,São José de Caiana,Comarca de Itaporanga
SAO JOSE DE ESPINHARAS,São José de Espinharas,Comarca de Patos
SAO JOSE DE PIRANHAS,São José de Piranhas,Comarca de São José de Piranhas
SAO JOSE DE PRINCESA,São José de Princesa,Comarca Int.Pric.Isabel e Agua Branca
SAO JOSE DO BONFIM,São José do Bonfim,Comarca de Patos
SAO JOSE DO BREJO DO CRUZ,São José do Brejo do Cruz,Comarca de Catolé do Rocha
SAO JOSE DO SABUGI,São José do Sabugi,Comarca de Santa Luzia
SAO JOSE DOS CORDEIROS,São José dos Cordeiros,Comarca de Serra Branca
SAO JOSE DOS RAMOS,São José dos Ramos,Comarca de Itabaiana
SAO MAMEDE,São Mamede,Comarca de Patos
SAO MIGUEL DE TAIPU,São Miguel de Taipu,Comarca de Itabaiana
